customerID,gender,SeniorCitizen,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0911,Female,0,6.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,34.2,197.73,NO
CUST-0185,Male,0,69.0,Yes,No,Month-to-month,Yes,Credit card,,1738.72,Yes
CUST-0031,Female,0,58.0,yEs,No,Month-to-month,No,Electronic check,77.92,4625.56,No
CUST-0329,Male,0,48.0,Yes,Fiber optic,Monthly,Yes,Electronic check,,3915.92,No
CUST-0507,Female,0,49.0,Yes,Fiber optic,1 year,Yes,Bank transfer,25.81,,No
CUST-0055,Female,1,17.0,Yes,Fiber optic,Two year,Yes,Electronic check,38.86,648.36,NO
CUST-0024,Male,1,71.0,Yes,No,Month-to-month,No,Electronic check,85.92,5812.29,Yes
CUST-0102,Female,1,69.0,Yes,DSL,two year,Yes,Credit card,32.33,2221.55,Yes
CUST-0550,Female,0,12.0,Yes,No,One year,No,Electronic check,85.49,991.47,No
CUST-0248,Female,0,40.0,Yes,DSL,Two year,No,Credit card,47.95,1974.76,No
CUST-0004,Female,0,14.0,Yes,DSL,One year,No,Mailed check,44.77,606.39,No
CUST-0087,Female,0,28.0,Yes,Fiber optic,One year,No,Electronic check,102.34,2770.45,No
CUST-0844,Female,0,15.0,yes,No,Month-to-month,Yes,Credit card,92.58,1436.2,nO
CUST-0953,Male,0,17.0,yEs,DSL,Month-to-month,No,Electronic check,46.91,820.38,Yes
CUST-0291,Male,0,,Yes,Fiber optic,Month-to-month,Yes,Mailed check,25.08,,No
CUST-0211,Female,0,53.0,Yes,No,Month-to-month,No,Electronic check,30.21,1604.28,Yes
CUST-0803,Female,0,60.0,Yes,DSL,Two year,nO,Bank transfer,22.2,1279.97,No
CUST-0175,Female,0,34.0,Yes,No,Month-to-month,No,Mailed check,,1939.95,No
CUST-0200,Female,0,63.0,Yes,Dsl,2 year,Yes,  Electronic check  ,96.53,6265.33,Yes
CUST-0903,Male,0,64.0,Yes,No,Month-to-month,Yes,Electronic check,106.82,7016.28,Yes
CUST-0486,Female,0,51.0,Yes,No,Month-to-month,No,Electronic check,68.43,--,Yes
CUST-0064,  Male  ,0,16.0,Yes,No,month to month,No,Credit card,27.11,--,No
CUST-0266,Female,0,48.0,Yes,Fiber optic,Month-to-month,YES,Credit card,29.5,1435.94,No
CUST-0232,Female,0,48.0,Yes,NO,Month-to-month,Yes,Electronic check,91.45,4280.12,Yes
CUST-0804,Female,0,65.0,YES,Fiber optic,One year,Yes,Electronic check,91.16,6020.1,Yes
CUST-0626,Male,0,-1.0,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,24.36,854.95,No
CUST-0569,Female,0,4.0,Yes,No,Month-to-month,No,Credit card,,156.12,Yes
CUST-0855,Male,1,45.0,No,No,Month-to-month,No,Credit card,999.0,1847.81,No
CUST-0040,Male,0,41.0,Yes,Fiber optic,Two year,Yes,Electronic check,76.57,3248.43,No
CUST-0807,Female,0,47.0,yEs,Fibre optic,Month-to-month,Yes,Electronic check,20.53,936.63,No
CUST-0169,Male,0,21.0,Yes,DSL,One year,No,Mailed check,36.49,800.13,No
CUST-0591,Male,0,,No,Fiber optic,Month-to-month,No,Electronic check,34.01,705.18,nO
CUST-0465,Female,1,38.0,Yes,dsl,Two year,Yes,Electronic check,64.07,2513.11,No
CUST-0999,Female,0,67.0,Yes,DSL,Month-to-month,Yes,Mailed check,25.48,1669.43,No
CUST-0443,Male,0,-3.0,YES,FiberOptic,Month-to-month,No,Mailed check,35.94,851.96,NO
CUST-0909,Male,0,55.0,Yes,No,Two year,No,  Credit card  ,65.03,3731.89,No
CUST-0067,Male,0,40.0,Yes,DSL,One year,Yes,Credit card,94.38,3916.82,No
CUST-0308,Male,0,22.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,88.2,2004.13,No
CUST-0068,Female,0,38.0,Yes,DSL,month to month,No,Bank transfer,102.24,3701.2,Yes
CUST-0199,Female,0,1.0,Yes,DSL,Month-to-month,No,Mailed check,57.42,59.45,No
CUST-0529,Male,0,,Yes,Fiber optic,one year,No,  Electronic check  ,48.64,949.12,No
CUST-0482,Female,0,26.0,yes,Fiber optic,Month-to-month,No,Bank transfer,25.66,663.37,Yes
CUST-0758,Female,0,54.0,Yes,DSL,Two year,Yes,Bank transfer,,N/A,No
CUST-0988,Male,0,23.0,Yes,No,One year,Yes,Electronic check,33.84,778.03,No
CUST-0363,Male,0,45.0,No,No,month-to-month,No,Mailed check,92.27,,Yes
CUST-0845,  Male  ,1,32.0,no,Fiber optic,Month-to-month,Yes,Mailed check,65.92,2070.11,Yes
CUST-0559,Female,0,33.0,Yes,DSl,Month-to-month,NO,Bank transfer,108.65,3607.91,No
CUST-0619,Female,0,1.0,Yes,DSL,One year,Yes,Electronic check,30.47,29.02,nO
CUST-0353,Female,0,39.0,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,49.53,1837.95,Yes
CUST-0761,Male,0,34.0,Yes,Fibre optic,Two year,No,Bank transfer,56.7,1892.71,No
CUST-0930,Male,0,28.0,yEs,No,One Year,No,Bank transfer,48.26,1351.51,No
CUST-0293,Female,0,,Yes,Fiber optic,One year,Yes,Credit card,46.52,856.61,No
CUST-0753,Female,0,31.0,Yes,DSl,Monthly,Yes,  Credit card  ,54.08,1625.04,Yes
CUST-0101,Male,0,,Yes,Fiber optic,one year,no,Mailed check,79.38,1510.12,nO
CUST-0158,Female,1,61.0,yEs,Fiber optic,Month-to-month,No,Bank transfer,92.52,5637.98,Yes
CUST-0646,Female,0,13.0,Yes,FiberOptic,month-to-month,Yes,Mailed check,71.93,909.44,Yes
CUST-0809,Male,0,27.0,Yes,DSL,Two Year,Yes,  Credit card  ,25.68,694.95,No
CUST-0306,Female,1,28.0,yEs,DSL,Two year,Yes,Credit card,40.77,1139.39,No
CUST-0629,Male,0,-5.0,Yes,DSL,Two year,No,Mailed check,63.51,1932.41,nO
CUST-0159,  Male  ,1,9.0,Yes,Fiber optic,Month-to-month,YES,Bank transfer,44.42,400.48,Yes
CUST-0552,Female,0,17.0,YES,Fiber optic,Monthly,No,Credit card,26.46,447.85,No
CUST-0003,Female,1,55.0,Yes,DSL,Two year,no,  Mailed check  ,94.3,5132.29,No
CUST-0729,Male,0,47.0,Yes,Fiber optic,Month-to-month,no,Electronic check,88.31,4063.61,Yes
CUST-0209,Male,0,21.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,56.83,1242.47,Yes
CUST-0300,Male,0,20.0,Yes,DSL,Month-to-month,Yes,Electronic check,50.13,983.63,Yes
CUST-0851,Male,0,,YES,Fiber optic,Monthly,Yes,Bank transfer,58.35,3291.15,No
CUST-0437,  Male  ,0,63.0,Yes,No,Two year,Yes,Credit card,38.98,2351.21,No
CUST-0870,Female,0,26.0,Yes,Fiber optic,Month-to-month,No,Bank transfer,86.56,,Yes
CUST-0412,Female,0,35.0,No,Fiber optic,Month-to-month,Yes,Credit card,21.83,727.86,No
CUST-0615,  Female  ,0,13.0,Yes,DSL,month to month,No,Electronic check,103.43,1409.19,No
CUST-0908,Male,0,19.0,Yes,Fiber optic,1 year,Yes,Electronic check,22.08,435.0,No
CUST-0913,Female,1,29.0,Yes,DSL,Month-to-month,Yes,Credit card,,1917.39,Yes
CUST-0997,Female,1,37.0,yEs,Fiber optic,Month-to-month,Yes,Mailed check,52.06,1967.47,nO
CUST-0963,Male,0,10.0,Yes,Fiber optic,2 year,Yes,  Bank transfer  ,67.3,700.19,No
CUST-0701,Female,1,,No,No,Two year,Yes,Bank transfer,,4846.4,No
CUST-0779,Female,0,,NO,Fiber optic,One year,No,Bank transfer,35.45,1721.76,No
CUST-0307,Female,0,-1.0,Yes,No,Month-to-month,no,Credit card,51.57,200.22,Yes
CUST-0222,Female,0,14.0,Yes,DSL,Two year,Yes,Bank transfer,81.63,1116.03,No
CUST-0494,Male,0,42.0,yEs,Fiber optic,month-to-month,No,Bank transfer,72.84,,No
CUST-0424,  Male  ,0,54.0,Yes,Fibre optic,Two year,Yes,Bank transfer,77.6,4279.56,No
CUST-0299,Female,0,38.0,Yes,Fiber optic,Two year,Yes,Electronic check,38.42,1420.09,no
CUST-0468,Female,0,8.0,Yes,Fiber optic,month-to-month,Yes,Bank transfer,51.32,411.1,no
CUST-0885,Female,0,62.0,Yes,DSL,Month-to-month,Yes,Electronic check,23.33,1400.93,Yes
CUST-0756,Female,0,9.0,Yes,No,Month-to-month,Yes,Electronic check,69.81,628.78,No
CUST-0107,Male,0,24.0,yes,Fiber optic,Month-to-month,No,Credit card,106.5,2452.89,No
CUST-0859,Female,1,28.0,Yes,DSL,Month-to-month,Yes,Electronic check,88.46,2519.07,No
CUST-0056,Female,0,70.0,Yes,Fiber optic,Two year,Yes,Electronic check,33.06,2385.97,No
CUST-0121,Female,1,3.0,Yes,DSL,month-to-month,Yes,Bank transfer,80.66,--,Yes
CUST-0311,Male,0,66.0,No,Fiber optic,Month-to-month,No,Electronic check,71.03,,Yes
CUST-0026,Female,0,42.0,YES,Fiber optic,1 year,Yes,  Bank transfer  ,81.18,3245.74,No
CUST-0073,Male,0,63.0,Yes,dsl,Month-to-month,No,Electronic check,72.78,4443.93,No
CUST-0531,  Female  ,0,8.0,YES,DSL,Two year,No,Electronic check,87.13,720.33,no
CUST-0045,Male,1,33.0,Yes,No,One year,Yes,Electronic check,107.97,3423.09,No
CUST-0276,Female,0,20.0,Yes,FiberOptic,Month-to-month,No,Mailed check,104.4,2029.32,No
CUST-0479,Female,0,67.0,Yes,Fiber optic,Month-to-month,No,Credit card,107.11,7398.14,Yes
CUST-0315,Female,0,38.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,29.98,1181.99,No
CUST-0337,Female,0,8.0,Yes,DSL,Two Year,Yes,Electronic check,35.14,279.75,No
CUST-0690,Male,0,31.0,Yes,Fiber optic,One year,Yes,Mailed check,79.34,2398.61,nO
CUST-0431,Male,0,32.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,25.33,798.88,No
CUST-0951,Female,0,20.0,Yes,No,month-to-month,Yes,Mailed check,90.5,1740.92,No
CUST-0834,Male,0,67.0,Yes,Fiber optic,Month-to-month,No,Electronic check,83.07,5576.06,yes
CUST-0589,Male,0,42.0,No,fiber optic,month to month,No,Electronic check,67.03,2786.08,Yes
CUST-0704,  Male  ,0,29.0,Yes,Fibre optic,Two year,No,Electronic check,86.31,2434.07,No
CUST-0328,Female,0,35.0,Yes,No,Month-to-month,Yes,Electronic check,29.55,1015.44,No
CUST-0716,Female,1,13.0,yes,No,Month-to-month,Yes,Credit card,99.15,1287.69,Yes
CUST-0604,  Male  ,0,71.0,Yes,Fiber optic,Month-to-month,No,Bank transfer,100.88,7313.2,No
CUST-0928,Female,0,37.0,Yes,Fiber optic,One year,Yes,Bank transfer,27.78,1055.09,No
CUST-0981,Male,0,47.0,Yes,Fiber optic,month-to-month,yes,Electronic check,999.0,3784.76,No
CUST-0972,Female,0,69.0,Yes,No,Month-to-month,Yes,Mailed check,60.88,4158.85,Yes
CUST-0763,Male,0,8.0,Yes,No,One year,Yes,  Electronic check  ,89.12,713.77,No
CUST-0332,Female,0,13.0,yes,Fiber optic,Month-to-month,No,Mailed check,103.59,1364.79,YES
CUST-0061,Male,1,22.0,No,DSL,Month-to-month,No,Credit card,,1763.82,yEs
CUST-0746,Female,0,28.0,Yes,DSL,Monthly,No,Credit card,108.06, ,No
CUST-0372,Male,0,69.0,Yes,No,Two year,No,Bank transfer,38.92,2619.63,No
CUST-0093,Female,0,44.0,Yes,DSL,Month-to-month,Yes,Mailed check,75.39,3403.31,NO
CUST-0723,Male,0,58.0,Yes,No,Two year,Yes,  Electronic check  ,49.64,,No
CUST-0491,Male,0,30.0,Yes,Fiber optic,One year,Yes,Bank transfer,34.45,987.69,No
CUST-0463,  Female  ,0,11.0,Yes,Fiber optic,Month-to-month,yEs,  Bank transfer  ,106.61,1179.84,Yes
CUST-0219,Female,0,59.0,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,58.51,3555.54,No
CUST-0514,Female,0,32.0,Yes,Fiber optic,One year,No,Electronic check,96.5,3193.46,NO
CUST-0621,Male,0,35.0,Yes,DSL,Month-to-month,Yes,Mailed check,107.14,3782.72,Yes
CUST-0426,Female,1,36.0,Yes,No,Two year,Yes,Electronic check,105.12,3937.28,No
CUST-0333,Male,0,61.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,92.39,5654.23,Yes
CUST-0860,  Male  ,0,65.0,yes,Fiber optic,One year,No,Electronic check,63.27,,No
CUST-0990,Female,0,8.0,yEs,Fiber optic,Month-to-month,Yes,Electronic check,102.34,na,Yes
CUST-0583,Male,0,31.0,Yes,DSL,month-to-month,Yes,Electronic check,22.03,698.3,No
CUST-0356,Female,1,39.0,Yes,DSL,Month-to-month,Yes,Bank transfer,60.79,2285.26,No
CUST-0483,Male,0,27.0,Yes,DSL,Two year,No,Mailed check,62.85,1719.47,No
CUST-0546,  Male  ,0,56.0,Yes,No,Month-to-month,Yes,Credit card,64.75,3807.12,No
CUST-0111,  Male  ,0,9.0,Yes,Fiber optic,One year,Yes,Credit card,83.48,756.04,Yes
CUST-0515,Male,0,51.0,No,DSL,One year,Yes,  Mailed check  ,96.17,,No
CUST-0603,Male,0,26.0,No,DSL,Month-to-month,Yes,Credit card,91.93,2341.44,Yes
CUST-0996,Male,0,15.0,Yes,Fiber optic,month-to-month,no,Mailed check,69.18,1008.36,Yes
CUST-0508,Female,0,13.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,71.99,960.6,yEs
CUST-0335,Male,1,46.0,YES,No,One year,No,Mailed check,42.43,1911.06,No
CUST-0849,Female,1,59.0,No,DSL,month-to-month,Yes,Mailed check,60.32,3562.46,No
CUST-0295,Male,0,52.0,No,Fiber optic,2 year,Yes,  Electronic check  ,40.14,2020.74,No
CUST-0287,Male,0,47.0,Yes,DSL,Month-to-month,nO,Electronic check,101.88,4836.89,No
CUST-0939,Male,0,67.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,54.69,3691.66,Yes
CUST-0448,Female,0,37.0,yes,DSL,Month-to-month,YES,Bank transfer,45.61,1725.05,No
CUST-0693,Female,0,57.0,yes,Fiber optic,Month-to-month,NO,Mailed check,34.28,,Yes
CUST-0653,Female,0,55.0,Yes,Fiber optic,Two year,No,Credit card,93.53,4995.17,No
CUST-0969,  Female  ,0,22.0,Yes,Fiber optic,One year,No,Mailed check,57.81,1269.7,No
CUST-0278,Female,1,44.0,Yes,DSL,Two year,Yes,Bank transfer,21.76,936.09,No
CUST-0759,  Female  ,0,56.0,Yes,Fibre optic,Month-to-month,No,Electronic check,103.45,5986.1,Yes
CUST-0138,Female,0,16.0,Yes,DSL,Month-to-month,Yes,Electronic check,39.22,628.0,No
CUST-0502,Female,0,17.0,Yes,No,One year,Yes,Bank transfer,106.06,1725.58,No
CUST-0405,Male,0,38.0,YES,Fiber optic,Month-to-month,No,Electronic check,28.4,1087.15,No
CUST-0524,Female,0,13.0,No,DSL,Month-to-month,Yes,  Mailed check  ,109.74,1362.8,No
CUST-0781,Female,0,10.0,Yes,Fiber optic,One year,No,Mailed check,22.29,220.51,No
CUST-0978,  Male  ,0,19.0,Yes,No,Two year,No,Electronic check,94.94,1829.79,nO
CUST-0581,Male,0,47.0,No,Fiber optic,month to month,No,Bank transfer,106.76,5185.97,Yes
CUST-0238,  Male  ,0,45.0,Yes,No,Month-to-month,No,Bank transfer,29.71,1366.25,Yes
CUST-0989,Male,0,15.0,Yes,Fiber optic,month-to-month,Yes,Mailed check,91.41,1359.96,No
CUST-0216,Male,0,9.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,105.9,923.4,yes
CUST-0895,Female,0,11.0,Yes,DSL,Month-to-month,no,  Bank transfer  ,34.72,379.31,Yes
CUST-0245,Male,0,,YES,DSl,2 year,Yes,Mailed check,62.78,3386.98,No
CUST-0553,Female,0,19.0,Yes,No,Month-to-month,No,Bank transfer,87.26,1639.01,No
CUST-0838,Male,0,44.0,Yes,Fiber optic,One year,No,Electronic check,76.11,3294.19,Yes
CUST-0864,Male,0,54.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,37.72,2004.6,Yes
CUST-0668,Male,1,31.0,Yes,No,Month-to-month,Yes,Bank transfer,70.67,2222.0,yes
CUST-0622,Male,0,66.0,Yes,DSL,One year,No,Electronic check,103.06,6503.79,No
CUST-0079,Male,0,20.0,Yes,DSL,Month-to-month,nO,Credit card,81.95,1644.18,No
CUST-0030,Male,0,37.0,Yes,No,Two year,yes,Mailed check,62.55,2338.39,NO
CUST-0451,Female,0,,Yes,Fiber optic,One year,No,Credit card,74.72,2818.63,no
CUST-0290,Female,0,46.0,Yes,DSl,Monthly,Yes,Mailed check,32.07,1539.34,No
CUST-0050,Male,0,58.0,Yes,DSL,Month-to-month,no,Mailed check,109.84,6489.59,Yes
CUST-0671,Male,0,32.0,Yes,DSL,2 year,Yes,Bank transfer,43.13,1419.67,No
CUST-0799,  Female  ,0,24.0,No,No,Monthly,Yes,Electronic check,78.37,1864.45,Yes
CUST-0834,Male,0,67.0,Yes,Fiber optic,Month-to-month,No,Electronic check,83.07,5576.06,yes
CUST-0166,Female,0,47.0,Yes,DSL,Month-to-month,Yes,Electronic check,78.72,3883.79,No
CUST-0931,Male,0,42.0,Yes,No,Month-to-month,no,Electronic check,61.36,2519.05,No
CUST-0179,  Female  ,0,58.0,Yes,DSL,Month-to-month,yes,Mailed check,41.43,2349.14,No
CUST-0694,Male,0,26.0,Yes,Fiber optic,Month-to-month,No,Bank transfer,48.14,1231.27,No
CUST-0066,Female,0,39.0,Yes,DSL,month to month,Yes,Mailed check,90.63,3631.23,No
CUST-0142,  Male  ,0,30.0,yes,DSL,One year,No,Electronic check,25.35,725.63,No
CUST-0986,Male,0,21.0,No,Fiber optic,One year,Yes,Bank transfer,102.51,2082.07,No
CUST-0352,Female,0,59.0,YES,No,One year,No,Credit card,20.48,1197.99,No
CUST-0862,Male,0,47.0,Yes,Fiber optic,Month-to-month,No,Electronic check,,4068.7,Yes
CUST-0441,Male,1,57.0,Yes,DSL,Month-to-month,No,Electronic check,101.33,6009.5,No
CUST-0347,Female,0,49.0,Yes,Fiber optic,Month-to-month,No,Mailed check,59.85,3019.9,No
CUST-0255,Male,0,53.0,Yes,No,One year,No,Bank transfer,23.26,1175.01,No
CUST-0695,  Male  ,0,18.0,Yes,No,Month-to-month,No,Bank transfer,29.53,505.72,Yes
CUST-0345,Male,0,,Yes,No,Month-to-month,Yes,Electronic check,,430.38,no
CUST-0222,Female,0,14.0,Yes,DSL,Two year,Yes,Bank transfer,81.63,1116.03,No
CUST-0236,  Female  ,0,19.0,Yes,FiberOptic,Month-to-month,No,Bank transfer,22.6,449.19,Yes
CUST-0548,Female,0,41.0,Yes,Fiber optic,Month-to-month,No,Mailed check,37.27,1539.7,No
CUST-0500,Female,1,59.0,Yes,NO,Month-to-month,Yes,  Electronic check  ,46.23,2772.52,Yes
CUST-0596,Male,0,56.0,Yes,DSL,Two year,no,  Bank transfer  ,48.49,na,No
CUST-0941,Male,0,45.0,YES,Fiber optic,one year,No,Mailed check,95.77,4251.21,Yes
CUST-0250,Female,0,,No,No,Month-to-month,Yes,Credit card,82.19,761.41,No
CUST-0641,Male,0,34.0,Yes,DSL,Month-to-month,Yes,Mailed check,75.97,2546.17,no
CUST-0382,Female,0,68.0,YES,Fiber optic,One year,No,Credit card,25.64,1694.64,No
CUST-0072,Male,0,64.0,Yes,fiber optic,Month-to-month,Yes,Mailed check,,5838.56,No
CUST-0095,Female,0,6.0,Yes,DSL,Month-to-month,YES,Mailed check,60.25,359.9,Yes
CUST-0034,Female,0,,Yes,Fiber optic,One year,Yes,Electronic check,107.48,333.38,Yes
CUST-0260,Male,0,8.0,Yes,Fibre optic,1 year,Yes,Mailed check,90.31,690.91,No
CUST-0205,Female,0,47.0,Yes,Fiber optic,Month-to-month,No,Mailed check,70.49,,Yes
CUST-0360,Female,0,19.0,Yes,DSL,Month-to-month,Yes,Mailed check,23.65,--,Yes
